bin,dB
8700,-107.8583908
8720,-97.0321865
8740,-91.0956249
8760,-97.0094166
8780,-109.9478989
8800,-97.6718884
8820,-95.674284
8840,-94.4457798
8860,-94.712946
8880,-93.7095814
8900,-99.68074039999999
8920,-89.7881375
8940,-101.1243134
8960,-95.96596339999999
8980,-101.5959931
9000,-90.07988929999999
9020,-99.4684067
9040,-100.4047623
9060,-109.518631
9080,-91.1912365
9100,-100.4216995
9120,-112.9555512
9140,-103.7925949
9160,-100.081604
9180,-97.4088383
9200,-99.7627335
9220,-95.84932140000001
9240,-101.616417
9260,-98.807518
9280,-100.0864487
9300,-108.3790818
9320,-95.7786351
9340,-93.6924458
9360,-98.23952299999999
9380,-114.84758
9400,-100.1842957
9420,-95.2340336
9440,-112.5964585
9460,-101.1264267
9480,-111.7154618
9500,-94.47010230000001
9520,-94.1014843
9540,-101.47015379999999
9560,-110.65459440000001
9580,-96.9415341
9600,-91.3730793
9620,-95.9685002
9640,-95.5935231
9660,-91.0849819
9680,-95.5863056
9700,-95.18116570000001
9720,-95.6549664
9740,-103.3776627
9760,-99.4690094
9780,-102.9462891
9800,-94.98038679999999
9820,-94.2508106
9840,-97.7097531
9860,-93.5932522
9880,-94.2546063
9900,-101.45737460000001
9920,-93.25664330000001
9940,-115.6415253
9960,-103.2392502
9980,-96.6508122
10000,-106.8095627
10020,-90.1919995
10040,-99.1662903
10060,-102.0271607
10080,-97.8631306
10100,-91.7805538
10120,-98.4617672
10140,-91.9863072
10160,-96.6886769
10180,-98.3350163
10200,-111.5043412
10220,-97.5755406
10240,-103.1978455
10260,-113.50714880000001
10280,-100.3578644
10300,-93.9314099
10320,-106.8861084
10340,-100.8149796
10360,-92.46751979999999
10380,-95.9580822
10400,-103.6470032
10420,-92.6329212
10440,-107.9838791
10460,-97.7550144
10480,-94.5001431
10500,-88.5548039
10520,-99.7683411
10540,-99.61926270000001
10560,-92.7264233
10580,-106.1217423
10600,-96.8754978
10620,-99.341835
10640,-106.4857254
10660,-103.6779022
10680,-97.6276036
10700,-95.25152779999999
10720,-98.772873
10740,-94.1198674
10760,-100.2186966
10780,-98.61505890000001
10800,-101.2091904
10820,-96.7864018
10840,-99.4330521
10860,-106.0985413
10880,-97.67744640000001
10900,-95.5457554
10920,-105.6712952
10940,-97.1735173
10960,-103.0543213
10980,-103.58469389999999
11000,-96.2051487
11020,-104.1724854
11040,-95.513628
11060,-97.0538311
11080,-95.4363194
11100,-92.493433
11120,-95.7500859
11140,-97.8055516
11160,-96.3252049
11180,-94.4703274
11200,-96.8915119
11220,-99.6226578
11240,-100.3354721
11260,-97.1725483
11280,-93.2476483
11300,-97.1076145
11320,-106.5563736
11340,-97.9765644
11360,-99.7624817
11380,-99.8318482
11400,-96.7798672
11420,-105.094986
11440,-94.5066662
11460,-96.09414100000001
11480,-96.1921788
11500,-105.2026291
11520,-94.6420765
11540,-107.9939575
11560,-90.6218739
11580,-95.91349220000001
11600,-95.6207447
11620,-91.035841
11640,-103.7822495
11660,-92.9650555
11680,-95.5358525
11700,-94.6681767
11720,-94.5735607
11740,-107.5783539
11760,-93.6137333
11780,-96.5172062
11800,-118.3442383
11820,-90.1260357
11840,-91.1783238
11860,-106.7161789
11880,-97.72244069999999
11900,-91.6715718
11920,-94.1047611
11940,-95.724165
11960,-97.7510014
11980,-97.798193
12000,-92.8764553
12020,-93.4014569
12040,-93.1304951
12060,-103.6903763
12080,-98.9877701
12100,-101.9310456
12120,-110.922287
12140,-100.057106
12160,-105.64755249999999
12180,-97.4734478
12200,-95.07755470000001
12220,-98.7199021
12240,-94.963007
12260,-98.1982403
12280,-95.17918209999999
12300,-103.0250702
12320,-93.6257572
12340,-93.0074635
12360,-88.7616558
12380,-113.715416
12400,-93.0582218
12420,-102.0429611
12440,-96.7335606
12460,-96.1475735
12480,-100.9685745
12500,-102.1162949
12520,-96.8321057
12540,-95.5971127
12560,-98.273264
12580,-92.1660328
12600,-95.6088429
12620,-95.5172367
12640,-100.46342469999999
12660,-103.6217423
12680,-103.2746506
12700,-100.54332740000001
12720,-110.0929795
12740,-98.89366150000001
12760,-95.4275227
12780,-100.50834660000001
12800,-101.147728
12820,-100.5734711
12840,-97.68226440000001
12860,-106.1940079
12880,-95.3251858
12900,-99.00237279999999
12920,-103.95474250000001
12940,-105.8774491
12960,-94.7742291
12980,-110.7194977
13000,-100.6069641
13020,-103.0834046
13040,-94.6837673
13060,-98.9894028
13080,-98.4059582
13100,-90.5473118
13120,-95.42663
13140,-92.11162759999999
13160,-93.9002667
13180,-100.662735
13200,-101.4290619
13220,-106.8362808
13240,-99.4333039
13260,-93.10417749999999
13280,-123.4582978
13300,-109.94214629999999
13320,-96.7725163
13340,-107.9759522
13360,-93.3842449
13380,-102.211586
13400,-107.0534668
13420,-93.94516949999999
13440,-111.29132849999999
13460,-91.3714276
13480,-99.4973755
13500,-94.29169279999999
13520,-97.56175809999999
13540,-98.0250492
13560,-102.22796629999999
13580,-94.29083059999999
13600,-105.3529129
13620,-111.3448944
13640,-96.22887610000001
13660,-94.79311179999999
13680,-108.41246799999999
13700,-91.3246403
13720,-98.3791676
13740,-92.7772198
13760,-96.36246679999999
13780,-97.2393894
13800,-105.9687119
13820,-90.2137928
13840,-103.1449585
13860,-99.22678379999999
13880,-92.7261334
13900,-92.90429879999999
13920,-96.0722599
13940,-93.9683857
13960,-96.5573445
13980,-97.3074818
14000,-92.26283839999999
14020,-110.5454026
14040,-97.0487194
14060,-107.09886929999999
14080,-93.907362
14100,-108.65752409999999
14120,-102.0699539
14140,-104.62721260000001
14160,-98.2194119
14180,-97.0029812
14200,-95.8338146
14220,-112.1462784
14240,-101.9682923
14260,-98.2075138
14280,-110.4374771
14300,-100.637497
14320,-94.3707333
14340,-91.6239186
14360,-97.4832173
14380,-113.7667313
14400,-102.73261260000001
14420,-106.0327988
14440,-98.9124451
14460,-96.5538731
14480,-100.8466263
14500,-92.5259381
14520,-97.5460377
14540,-101.8128052
14560,-102.5071869
14580,-105.5942612
14600,-96.30562019999999
14620,-96.7546673
14640,-93.2580052
14660,-98.5007954
14680,-96.5758953
14700,-100.04431149999999
14720,-115.78050999999999
14740,-99.7616425
14760,-110.3432999
14780,-100.8160019
14800,-94.7615528
14820,-90.6585713
14840,-101.5863114
14860,-102.3639527
14880,-95.3936253
14900,-98.9455719
14920,-94.7938404
14940,-101.069603
14960,-100.8289795
14980,-117.903862
15000,-99.7125855
